TIME,DEPTH,ROP,WOB,RPM,TORQUE,PRESSURE,HOOKLOAD,FLOW
2007-12-01T07:04:25.997Z,1.01999999679079,,0,,0,142.9999965842,62.4168284568382,0
2007-12-01T07:04:29.971Z,1.01999999679079,,0,,0,140.999999862384,62.3658433136731,0
2007-12-01T07:04:34.982Z,1.01999999679079,,0,,0,132.000004272077,62.3250540198009,0
2007-12-01T07:04:39.043Z,1.01999999679079,,0,,0,153.99999579108,62.3760387093736,0
2007-12-01T07:04:43.968Z,1.01999999679079,,0,,0,135.000002802179,62.4168284568382,0
2007-12-01T07:04:48.029Z,1.01999999679079,,0,,0,159.999999746042,62.4270279348701,0
2007-12-01T07:04:53.040Z,1.01999999679079,,0,,0,144.000005287244,62.4168284568382,0
2007-12-01T07:04:57.014Z,1.01999999679079,,0,,0,147.000003817346,62.5289977676079,0
2007-12-01T07:05:02.026Z,1.01999999679079,,0,,0,147.000003817346,62.3148586241004,0
2007-12-01T07:05:06.000Z,1.01999999679079,,0,,0,141.999994775913,62.4474228086024,0
2007-12-01T07:05:11.011Z,1.01999999679079,,0,,0,145.00000709553,62.3760387093736,0
2007-12-01T07:05:14.986Z,1.01999999679079,,0,,0,146.00000200906,62.3658433136731,0
2007-12-01T07:05:19.997Z,1.01999999679079,,0,,0,164.000000084431,62.3964335831059,0
2007-12-01T07:05:23.971Z,1.01999999679079,,0,,0,146.00000200906,62.4780126244428,0
2007-12-01T07:05:28.982Z,1.01999999679079,,0,,0,150.999997260978,62.3964335831059,0
2007-12-01T07:05:33.043Z,1.01999999679079,,0,,0,153.99999579108,62.3964335831059,0
2007-12-01T07:05:37.968Z,1.01999999679079,,0,,0,155.999992512896,62.4270279348701,0
2007-12-01T07:05:47.040Z,1.01999999679079,,0,,0,146.00000200906,62.3658433136731,0
2007-12-01T07:05:51.014Z,1.01999999679079,,0,,0,154.999997599367,62.3454484399408,0
2007-12-01T07:05:56.026Z,1.01999999679079,,0,,0,128.999998847217,62.1924934640379,0
2007-12-01T07:06:00.000Z,1.01999999679079,,0,,0,136.999999523995,62.4168284568382,0
2007-12-01T07:06:05.011Z,1.01999999679079,,0,,0,135.000002802179,62.4168284568382,0
2007-12-01T07:06:13.997Z,1.01999999679079,,0,,0,132.000004272077,62.3148586241004,0
2007-12-01T07:06:17.971Z,1.01999999679079,,0,,0,147.000003817346,62.2638734809353,0
2007-12-01T07:06:22.982Z,1.01999999679079,,0,,0,126.999995230644,62.3148586241004,0
2007-12-01T07:06:27.043Z,1.01999999679079,,0,,0,147.000003817346,62.3658433136731,0
2007-12-01T07:06:31.968Z,1.01999999679079,,0,,0,147.999998730875,62.4270279348701,0
2007-12-01T07:06:41.040Z,1.01999999679079,,0,,0,136.000004610466,62.3658433136731,0
2007-12-01T07:06:45.014Z,1.01999999679079,,0,,0,150.000002347448,62.2842683546676,0
2007-12-01T07:06:50.026Z,1.01999999679079,,0,,0,129.999993760747,62.4168284568382,0
2007-12-01T07:06:54.000Z,1.01999999679079,,0,,0,145.00000709553,62.5086028938756,0
2007-12-01T07:06:59.011Z,1.01999999679079,,0,,0,140.999999862384,62.4270279348701,0
2007-12-01T07:07:02.986Z,1.01999999679079,,0,,0,128.999998847217,62.3658433136731,0
2007-12-01T07:07:07.997Z,1.01999999679079,,0,,0,142.9999965842,62.3964335831059,0
2007-12-01T07:07:11.971Z,1.01999999679079,,0,,0,159.000004832513,62.3250540198009,0
2007-12-01T07:07:16.982Z,1.01999999679079,,0,,0,153.99999579108,62.3760387093736,0
2007-12-01T07:07:21.043Z,1.01999999679079,,0,,0,146.00000200906,62.3148586241004,0
2007-12-01T07:07:25.968Z,1.01999999679079,,0,,0,149.000000539162,62.3658433136731,0
2007-12-01T07:07:30.029Z,1.01999999679079,,0,,0,132.000004272077,62.2944637503681,0
2007-12-01T07:07:35.040Z,1.01999999679079,,0,,0,124.000003595299,62.4168284568382,0
2007-12-01T07:07:39.014Z,1.01999999679079,,0,,0,141.999994775913,62.3760387093736,0
2007-12-01T07:07:44.026Z,1.01999999679079,,0,,0,126.000000317115,62.3658433136731,0
2007-12-01T07:07:48.000Z,1.01999999679079,,0,,0,139.999998054098,62.3760387093736,0
2007-12-01T07:07:53.011Z,1.01999999679079,,0,,0,147.999998730875,62.4168284568382,0
2007-12-01T07:07:56.986Z,1.01999999679079,,0,,0,146.00000200906,62.4678136000033,0
2007-12-01T07:08:01.997Z,1.01999999679079,,0,,0,134.000000993893,62.4168284568382,0
2007-12-01T07:08:05.971Z,1.01999999679079,,0,,0,116.999997832051,62.3964335831059,0
2007-12-01T07:08:10.982Z,1.01999999679079,,0,,0,117.99999274558,62.3454484399408,0
