TIME,ROP5,TV07,HY_RT,SRV_HX,TV08,SRV_GZ,GRID_CORR,DBTV,TTV1,TV12,SDEP_CONT_RT,TV06,GTF_RT,BPOS,SRVAZI,GRM1,MBOT,TV10,CUREDT_RT,TV05,SRVEW,TV03,MDOA,GZ_RT,HKLD,TDH,TV04,SRV_GX,RHX_RT,GRR,BOUNCE_RT,MTOA,DRTM,PASS_NAME,DMEA,SRV_HY,SHKRSK_RT,SPM2,INCL_CONT_RT,TV02,TRPM_RT,CPPA,FVOC,SPPA,MAG_DEC,TFLO,TEMP_DNI_RT,DRILLTM_RT,SHK3TM_RT,TTV2,TV11,SHKRATE_RT,MFOP,TV14,DNI_MP,CFIA,RGX_RT,TOTAL_CORR,SRVTYPE,TQA,AJAM_MWD,RSDX,HOURS_DM_RT,SWOB,SPM1,MWTI,TVCA,RSUX,SRVTVD,SHKPK_RT,BTVD,SRVNS,DBTM,GASA,CHKP,SRV_HZ,SRV_GY,DNISTAT,ROP,SPM3,DVER,GY_RT,TV13,BITRUN,ACTC,TVT,RPM,AZIM_CONT_RT,WHIRL_RT,TVA,TF_CORR,TVDE,SRVDEPTH,MTF_RT,SRVINC,SHKTOT_RT,HZ_RT,TV09,TV01
2007-11-30T18:06:18.029Z,12.2983752,,,,,,-0.95,,,,49.9524528,,,,,,1,,,,1.45542,,,,,,,,,,0,,,Drilling,226.06254,,,,,,,,,,-2.22,,,0,,,,,,,14.3600424,,,-1.27,,,,,0,,,,,,210.6957432,,63.669672,-2.923032,63.6663192,,,,,,,,,,,1,2,,,,0,,0,226.0552248,210.7024488,,,,,,
2007-12-01T01:14:33.043Z,,,,0,,0,-0.95,,,,,,,,0,,1,,,,-3.5298888,,,,,,,0,,,,,,Drilling,140.0001264,0,,,,,,,,,-2.22,,,,,,,,,,14.3600424,,,-1.27,9,,,,,,,,,,0,,0.0201168,3.16992,0.0204216,,,0,0,,,,,,,1,2,,,,,,0,140.0001264,0,,0,,,,
2007-12-01T01:14:35.981Z,,,,,,,-0.95,,,,,,,,,,1,,,,,,,,,,,,,,,,,Drilling,140.0001264,,,,,,,,,,-2.22,,,,,,,,,,14.3600424,,,-1.27,,,,,,,,,,,,,0.0201168,,0.0204216,,,,,,,,,,,1,2,,,,,,0,140.0001264,,,,,,,
2007-12-01T01:14:39.005Z,,,,,,,-0.95,,,,,,,,,,1,,,,,,,,,,,,,,,,,Drilling,140.0001264,,,,,,,,,,-2.22,,,,,,,,,,14.3600424,,,-1.27,,,,,,,,,,,,,0.0201168,,0.0204216,,,,,,,,,,,1,2,,,,,,0,140.0001264,,,,,,,
2007-12-01T01:14:42.029Z,,,,,,,-0.95,,,,,,,,,,1,,,,,,,,,,,,,,,,,Drilling,140.0001264,,,,,,,,,,-2.22,,,,,,,,,,14.3600424,,,-1.27,,,,,,,,,,,,,0.0201168,,0.0204216,,,,,,,,,,,1,2,,,,,,0,140.0001264,,,,,,,
2007-12-01T01:14:44.966Z,,,,,,,-0.95,,,,,,,,,,1,,,,,,,,,,,,,,,,,Drilling,140.0001264,,,,,,,,,,-2.22,,,,,,,,,,14.3600424,,,-1.27,,,,,,,,,,,,,0.0201168,,0.0204216,,,,,,,,,,,1,2,,,,,,0,140.0001264,,,,,,,
2007-12-01T01:14:47.990Z,,,,,,,-0.95,,,,,,,,,,1,,,,,,,,,,,,,,,,,Drilling,140.0001264,,,,,,,,,,-2.22,,,,,,,,,,14.3600424,,,-1.27,,,,,,,,,,,,,0.0201168,,0.0204216,,,,,,,,,,,1,2,,,,,,0,140.0001264,,,,,,,
2007-12-01T01:14:51.014Z,,,,,,,-0.95,,,,,,,,,,1,,,,,,,,,,,,,,,,,Drilling,140.0001264,,,,,,,,,,-2.22,,,,,,,,,,14.3600424,,,-1.27,,,,,,,,,,,,,0.0201168,,0.0204216,,,,,,,,,,,1,2,,,,,,0,140.0001264,,,,,,,
2007-12-01T01:14:54.038Z,,,,,,,-0.95,,,,,,,,,,1,,,,-3.5298888,,,,,,,,,,,,,Drilling,140.0001264,,,,,,,,,,-2.22,,,,,,,,,,14.3600424,,,-1.27,,,,,,,,,,,,,0.0201168,3.16992,0.0204216,,,,,,,,,,,1,2,,,,,,0,140.0001264,,,,,,,
2007-12-01T01:14:56.976Z,,,,,,,-0.95,,,,,,,,,,1,,,,,,,,,,,,,,,,,Drilling,140.0001264,,,,,,,,,,-2.22,,,,,,,,,,14.3600424,,,-1.27,,,,,,,,,,,,,0.0201168,,0.0204216,,,,,,,,,,,1,2,,,,,,0,140.0001264,,,,,,,
