well_id,source_well_id,api_number,well_name,operator,field,latitude,longitude,total_depth,tvd,spud_date,source
05d3135f-0361-4466-9c09-764d3d890142,1.77E+11,1.77E+11,8,Talos Petroleum LLC,WC 45,29.67788706,-93.59810341,10444,10444,10/18/1958,BSEE
4914c0a5-11d4-47f1-b835-24cbb4b13e8c,1.77E+11,1.77E+11,9,Talos Petroleum LLC,WC 45,29.68633604,-93.58664009,14025,14025,11/29/1958,BSEE
2fbaadcc-4859-46c6-8c3c-91a5afcfcaa7,1.77E+11,1.77E+11,10,Talos Petroleum LLC,WC 45,29.68547404,-93.60838007,10372,10372,11-02-1959,BSEE
7c7f4905-7bb1-46c0-947d-9ef79114da00,1.77E+11,1.77E+11,11,Talos Petroleum LLC,WC 45,29.68863057,-93.59236484,10405,10405,2/25/1963,BSEE
59f113bb-ecd3-4fff-a52f-e2c4965dbce1,1.77E+11,1.77E+11,1,Talos Petroleum LLC,WC 45,29.66751064,-93.5874759,12958,12958,1/28/1959,BSEE
7edda10a-70e8-4bf4-bd58-25267697d092,1.77E+11,1.77E+11,2,Talos Petroleum LLC,WC 45,29.66104102,-93.59740726,10238,10238,4/27/1959,BSEE
75c87953-0c87-4156-8c75-71f35784a15d,1.77E+11,1.77E+11, A001,Talos Petroleum LLC,WC 45,29.64983628,-93.59336565,8814,8814,4/14/1949,BSEE
bf489727-d10d-40ff-a92a-a1bcc9e916e5,1.77E+11,1.77E+11, A001,Talos Petroleum LLC,WC 45,29.64983628,-93.59336565,9728,9728,08-12-1948,BSEE
5e2b6ff5-3b1d-4330-b614-9eddafd7885d,1.77E+11,1.77E+11, A001,Talos Petroleum LLC,WC 45,29.64983628,-93.59336565,8698,8698,01-05-1949,BSEE
20e5c989-5329-4d1e-91c8-0a577f509d37,1.77E+11,1.77E+11, A002,Talos Petroleum LLC,WC 56,29.64983628,-93.59336565,9166,8915,06-05-1949,BSEE
8638b3d3-cb36-40de-ac13-fcbf7d92bc25,1.77E+11,1.77E+11, A010,Talos Petroleum LLC,WC 56,29.64983628,-93.59336565,9161,8860,3/21/1968,BSEE
0bb55bc0-7a04-4154-a941-836e10a46335,1.77E+11,1.77E+11, A003,Talos Petroleum LLC,WC 45,29.64989956,-93.59335469,9872,9411,11-03-1949,BSEE
ccb8d18c-6378-4f62-9dca-e443f390e721,1.77E+11,1.77E+11, A004,Talos Petroleum LLC,WC 45,29.64983628,-93.59336565,10611,10611,4/20/1955,BSEE
2ac91a62-e1f1-47dd-8cec-04dc5785b16c,1.77E+11,1.77E+11, A005,Talos Petroleum LLC,WC 45,29.64983611,-93.59336585,14671,14414,7/26/1955,BSEE
e8a867dc-ee76-4d8f-96f2-0c407ef63a27,1.77E+11,1.77E+11, A006,Talos Petroleum LLC,WC 45,29.64983611,-93.59336585,9112,8553,12-10-1955,BSEE
ab6059a2-3160-4c8b-840b-87cfb02799bd,1.77E+11,1.77E+11, A007,Talos Petroleum LLC,WC 56,29.64983611,-93.59336585,10122,9086,01-11-1956,BSEE
8090f9f1-183b-462a-a552-e3b60f9120df,1.77E+11,1.77E+11, A008,Talos Petroleum LLC,WC 45,29.6498359,-93.59338769,9075,8808,4/25/1956,BSEE
